Sequence,ID,Netzbetreiber,VSE-ID,Kategorie,Netznutzung,Energie,Abgabe,KEV,Total exkl. MWST
80,6,AG Elektrizitätswerk Maienfeld,10256012345,C2,8.91626666666667,6.2036,0.25,2.3,17.6698666666667
81,6,AG Elektrizitätswerk Maienfeld,10256012345,C3,9.3,5.04733333333333,0.25,2.3,16.8973333333333
82,6,AG Elektrizitätswerk Maienfeld,10256012345,C4,8.775,4.9554,0.25,2.3,16.2804
83,6,AG Elektrizitätswerk Maienfeld,10256012345,C5,8.5942,4.6832,0.25,2.3,15.8274
84,6,AG Elektrizitätswerk Maienfeld,10256012345,C6,8.3444,4.7324,0.25,2.3,15.6268
85,6,AG Elektrizitätswerk Maienfeld,10256012345,C7,7.62754175037279,4.61585913656697,0.25,2.3,14.7934008869398
86,7,Alpen Energie,10751012345,H1,15.3525,7.0,0.0,2.3,24.6525
87,7,Alpen Energie,10751012345,H2,12.858,6.454,0.0,2.3,21.612
88,7,Alpen Energie,10751012345,H3,10.25,5.91888888888889,0.0,2.3,18.4688888888889
89,7,Alpen Energie,10751012345,H4,10.925,6.44388888888889,0.0,2.3,19.6688888888889
90,7,Alpen Energie,10751012345,H5,9.3645,5.97683333333333,0.0,2.3,17.6413333333333
91,7,Alpen Energie,10751012345,H6,7.70235,5.46805,0.0,2.3,15.4704
92,7,Alpen Energie,10751012345,H7,9.83788461538462,5.54730769230769,0.0,2.3,17.6851923076923
93,7,Alpen Energie,10751012345,H8,9.965375,6.44418055555556,0.0,2.3,18.7095555555556
94,7,Alpen Energie,10751012345,C1,10.200703125,6.69721354166667,0.0,2.3,19.1979166666667
95,7,Alpen Energie,10751012345,C3,11.0969055555556,6.50627777777778,0.0,2.3,19.9031833333333
96,7,Alpen Energie,10751012345,C4,10.3610283333333,6.25911666666667,0.0,2.3,18.920145
97,8,AMS Aziende Municipalizzate Stabio,10015012345,H1,14.29,5.95,2.17,2.3,24.71
98,8,AMS Aziende Municipalizzate Stabio,10015012345,H2,12.13,5.95,2.17,2.3,22.55
99,8,AMS Aziende Municipalizzate Stabio,10015012345,H3,8.53707936507937,5.95,2.17,2.3,18.9570793650794
100,8,AMS Aziende Municipalizzate Stabio,10015012345,H4,9.4632380952381,5.95,2.17,2.3,19.8832380952381
101,8,AMS Aziende Municipalizzate Stabio,10015012345,H5,7.80031428571429,5.95,2.17,2.3,18.2203142857143
102,8,AMS Aziende Municipalizzate Stabio,10015012345,H6,6.02909428571429,5.95,2.17,2.3,16.4490942857143
103,8,AMS Aziende Municipalizzate Stabio,10015012345,H7,7.49811538461539,5.95,2.17,2.3,17.9181153846154
104,8,AMS Aziende Municipalizzate Stabio,10015012345,H8,8.61030396825397,5.95,2.17,2.3,19.030303968254
105,8,AMS Aziende Municipalizzate Stabio,10015012345,C1,9.49,5.95,2.17,2.3,19.91
106,8,AMS Aziende Municipalizzate Stabio,10015012345,C2,8.61,5.95,2.17,2.3,19.03
107,8,AMS Aziende Municipalizzate Stabio,10015012345,C3,8.092,5.82,2.17,2.3,18.382
108,8,AMS Aziende Municipalizzate Stabio,10015012345,C4,7.56376,5.36,2.17,2.3,17.39376
109,8,AMS Aziende Municipalizzate Stabio,10015012345,C6,4.97,5.28035555555556,1.37,2.3,13.9203555555556
110,8,AMS Aziende Municipalizzate Stabio,10015012345,C7,3.62,5.07120314880587,1.05,2.3,12.0412031488059
111,736,Arbon Energie AG,10047012345,H1,18.2106845238095,9.1541369047619,0.95,2.3,30.6148214285714
112,736,Arbon Energie AG,10047012345,H2,14.8771428571429,8.32542857142857,0.95,2.3,26.4525714285714
113,736,Arbon Energie AG,10047012345,H3,11.2161904761905,7.4652380952381,0.95,2.3,21.9314285714286
114,736,Arbon Energie AG,10047012345,H4,12.3439682539683,7.69079365079365,0.95,2.3,23.2847619047619
115,736,Arbon Energie AG,10047012345,H5,10.0795238095238,7.17390476190476,0.95,2.3,20.5034285714286
116,736,Arbon Energie AG,10047012345,H6,7.67185714285714,6.62517142857143,0.95,2.3,17.5470285714286
117,736,Arbon Energie AG,10047012345,H7,9.57241758241758,7.03186813186813,0.95,2.3,19.8542857142857
118,736,Arbon Energie AG,10047012345,H8,11.0644444444444,7.37088888888889,0.95,2.3,21.6853333333333
